تاريخ إصدار الشهادة ميلادي,تاريخ إنتهاء الشهادة ميلادي,البلدية,X,Y
5/8/2026 0:00,4/5/2029 0:00,نطاق خدمة مدينة أبها,42.526435054603,18.216666753644873
5/4/2026 0:00,4/1/2029 0:00,نطاق خدمة مدينة أبها,42.556236,18.233237000000003
1/7/2026 0:00,12/5/2028 0:00,بلدية المجاردة,41.91065773707144,19.131917971007
2/18/2026 0:00,1/16/2029 0:00,نطاق خدمة مدينة أبها,42.5858995680459,18.222861532771418
3/10/2026 0:00,2/5/2029 0:00,بلدية احد رفيدة,42.862894502000074,18.17993652900003
3/14/2026 0:00,2/9/2029 0:00,بلدية بارق,41.978170674007806,18.887580621417243
4/20/2026 0:00,3/18/2029 0:00,بلدية خميس مشيط,42.78223408390095,18.25819239022048
4/26/2026 0:00,3/24/2029 0:00,بلدية خميس مشيط,42.70866603569201,18.291375462395322
4/15/2026 0:00,3/12/2029 0:00,بلدية خميس مشيط,42.75315131550133,18.29323041211193
1/5/2026 0:00,12/3/2028 0:00,بلدية خميس مشيط,42.757740269410476,18.350437050594785
1/7/2026 0:00,12/5/2028 0:00,بلدية المجاردة,41.91048400377015,19.132054697335434
2/20/2026 0:00,1/18/2029 0:00,بلدية خميس مشيط,42.73010260141281,18.294201590258055
3/4/2026 0:00,1/30/2029 0:00,بلدية المجاردة,41.914206312649014,19.132976409347734
4/15/2026 0:00,3/12/2029 0:00,بلدية خميس مشيط,42.75849812888815,18.297765979242612
4/22/2026 0:00,3/20/2029 0:00,نطاق خدمة مدينة أبها,42.53026170384893,18.221171941477948
3/8/2026 0:00,2/3/2029 0:00,بلدية الصبيخة,43.30899672100003,19.103922392000072
4/23/2026 0:00,3/21/2029 0:00,بلدية خميس مشيط,42.77560057832091,18.302883371079652
4/22/2026 0:00,3/20/2029 0:00,بلدية خميس مشيط,42.78971739442057,18.251421075829814
4/15/2026 0:00,3/12/2029 0:00,بلدية خميس مشيط,42.74655374702322,18.292037132213164
5/5/2026 0:00,4/2/2029 0:00,نطاق خدمة مدينة أبها,42.5095457055691,18.20099332318405
2/15/2026 0:00,1/12/2029 0:00,بلدية الصبيخة,43.30763637100006,19.104663870000024
4/23/2026 0:00,3/21/2029 0:00,بلدية المجاردة,41.92179581883093,19.1282430999226
3/12/2026 0:00,2/7/2029 0:00,بلدية احد رفيدة,42.864356345792,18.1812213501655
3/15/2026 0:00,2/10/2029 0:00,بلدية خميس مشيط,42.7082817,18.3564629
4/22/2026 0:00,3/20/2029 0:00,بلدية خميس مشيط,42.78648572109845,18.254572366147745
4/1/2026 0:00,2/26/2029 0:00,بلدية خميس مشيط,42.7336567263945,18.3325952131868
4/20/2026 0:00,3/18/2029 0:00,بلدية خميس مشيط,42.78222670782616,18.25815312100412
4/14/2026 0:00,3/11/2029 0:00,بلدية خميس مشيط,42.75403824477493,18.291074758630707
4/27/2026 0:00,3/25/2029 0:00,نطاق خدمة مدينة أبها,42.55747850815231,18.229084583937492
4/15/2026 0:00,3/12/2029 0:00,بلدية خميس مشيط,42.75142501555652,18.29707766956473
5/4/2026 0:00,4/1/2029 0:00,بلدية بيشة,42.6140563326395,19.9964686110758
1/5/2026 0:00,12/3/2028 0:00,بلدية الصبيخة,43.310120422526204,19.104591498057502
3/4/2026 0:00,1/30/2029 0:00,بلدية بارق,41.97772504734033,18.886400675885795
3/3/2026 0:00,1/29/2029 0:00,بلدية النماص,42.13513399567827,19.12790461860557
4/12/2026 0:00,3/9/2029 0:00,بلدية خميس مشيط,42.7032048546968,18.3631202664462
4/27/2026 0:00,3/25/2029 0:00,بلدية خميس مشيط,42.74969868455992,18.300787010697462
1/7/2026 0:00,12/5/2028 0:00,بلدية خميس مشيط,42.723448442085974,18.305785612873194
1/7/2026 0:00,12/5/2028 0:00,بلدية صمخ,42.8278323523674,19.4579652932377
4/9/2026 0:00,3/6/2029 0:00,بلدية سراة عبيده,43.130257379143245,18.090942896233713
4/15/2026 0:00,3/12/2029 0:00,بلدية الواديين,42.78237774931589,18.12948304408889
4/19/2026 0:00,3/17/2029 0:00,نطاق خدمة مدينة أبها,42.553061925233195,18.231677639838438
2/25/2026 0:00,1/23/2029 0:00,بلدية ظهران الجنوب,43.521157298223656,17.66182442252952
4/23/2026 0:00,3/21/2029 0:00,بلدية محايل عسير,42.06472998634569,18.506018158560952
4/22/2026 0:00,3/20/2029 0:00,بلدية خميس مشيط,42.78914379395923,18.252364671536732
4/7/2026 0:00,3/4/2029 0:00,بلدية طريب,43.20753403054006,18.570657004707584
2/12/2026 0:00,1/9/2029 0:00,بلدية سراة عبيده,43.146914781449176,18.08143393704006
2/10/2026 0:00,1/7/2029 0:00,بلدية البرك,41.639588861948255,18.428272259300655
3/3/2026 0:00,1/29/2029 0:00,نطاق خدمة مدينة أبها,42.48022195,18.23174194
4/22/2026 0:00,3/20/2029 0:00,بلدية خميس مشيط,42.7825801237817,18.257713549507
4/20/2026 0:00,3/18/2029 0:00,بلدية خميس مشيط,42.78258824197378,18.257916395244287
3/9/2026 0:00,2/4/2029 0:00,بلدية بيشة,42.60440017343327,19.988137360857376
4/9/2026 0:00,3/6/2029 0:00,بلدية البشائر,41.9162850667575,19.74523571025361
4/15/2026 0:00,3/12/2029 0:00,بلدية خميس مشيط,42.74997951466846,18.29274368474101
4/29/2026 0:00,3/27/2029 0:00,بلدية بارق,41.937581637467304,18.93426445605465
4/27/2026 0:00,3/25/2029 0:00,بلدية بارق,41.943246326301775,18.934624792617967
